,"/ 명령 탭키 오입력 개선"
"v","x 대문자 대응 추가 "
,"검색어 일치 검사 방법 변경 "
,"공격레벨/상쇄레벨 자료 검색"
,"단축커맨드에 대한 검색 추가"
,"미사용 소스 제거"
,"전캐릭 기술 이미지에 대해 히트박스 이미지로 변경"
,"프레임데이터 테이블에서 기술이미지 컬럼 분리"
,"프레임데이터 테이블에서 아이콘 컬럼 분리"
